TP9,AF7,AF8,TP10,board_ts,unix_ts
-19.53125,-146.97265625,55.17578125,-15.625,1758405222.1773987,1758405222.206626
-21.484375,328.61328125,365.234375,-22.4609375,1758405222.1812575,1758405222.2105322
-22.4609375,97.65625,170.8984375,-20.01953125,1758405222.1851165,1758405222.2144384
-10.25390625,-600.09765625,-274.90234375,-8.30078125,1758405222.1889756,1758405222.2183447
-4.8828125,-479.4921875,-83.49609375,2.44140625,1758405222.1928344,1758405222.222251
-1.46484375,403.3203125,613.28125,-6.8359375,1758405222.1966934,1758405222.2261572
0.48828125,357.91015625,437.5,-12.20703125,1758405222.2005525,1758405222.2300634
-3.41796875,42.48046875,202.63671875,-12.20703125,1758405222.2044113,1758405222.2339697
-10.25390625,123.53515625,281.73828125,-13.671875,1758405222.2082703,1758405222.237876
-13.671875,451.66015625,463.8671875,-10.25390625,1758405222.2130723,1758405222.2417822
-9.27734375,267.578125,290.0390625,-0.9765625,1758405222.2178743,1758405222.2456884
2.44140625,-145.01953125,10.25390625,2.9296875,1758405222.2226763,1758405222.2495947
0.9765625,21.97265625,206.0546875,-2.44140625,1758405222.2274783,1758405222.253501
-7.32421875,354.00390625,469.23828125,-3.90625,1758405222.2322803,1758405222.2574072
-9.27734375,-5.37109375,197.75390625,-8.30078125,1758405222.237082,1758405222.2613134
-4.8828125,-871.58203125,-483.3984375,1.953125,1758405222.241884,1758405222.2652197
-8.7890625,-359.86328125,6.8359375,0.9765625,1758405222.246686,1758405222.269126
-15.625,567.3828125,788.0859375,-11.23046875,1758405222.251488,1758405222.2730322
-14.16015625,257.32421875,442.87109375,-14.6484375,1758405222.25629,1758405222.2769384
-13.18359375,215.33203125,431.15234375,-20.99609375,1758405222.261092,1758405222.2808447
-24.4140625,548.33984375,678.7109375,-24.90234375,1758405222.265894,1758405222.284751
-26.85546875,547.36328125,581.54296875,-31.25,1758405222.2696972,1758405222.2886572
-27.83203125,243.65234375,355.46875,-30.2734375,1758405222.2735007,1758405222.2925634
-32.2265625,196.2890625,331.54296875,-36.62109375,1758405222.2773042,1758405222.2964697
-23.92578125,447.75390625,448.2421875,-38.57421875,1758405222.2811074,1758405222.300376
-13.671875,439.453125,436.5234375,-32.71484375,1758405222.2849107,1758405222.3042822
-19.53125,-14.16015625,171.38671875,-26.85546875,1758405222.2887142,1758405222.3081884
-27.83203125,-340.33203125,-5.859375,-13.18359375,1758405222.2925177,1758405222.3120947
-25.87890625,12.6953125,303.22265625,-16.6015625,1758405222.296321,1758405222.316001
-21.97265625,398.4375,591.796875,-27.83203125,1758405222.3001242,1758405222.3199072
-11.23046875,-426.26953125,-93.26171875,-22.94921875,1758405222.3039277,1758405222.3238134
-16.6015625,-584.47265625,-130.859375,-22.94921875,1758405222.3077312,1758405222.3277197
-21.484375,449.70703125,741.69921875,-31.73828125,1758405222.3115344,1758405222.331626
-15.625,369.140625,556.15234375,-26.85546875,1758405222.3153024,1758405222.3355322
-22.4609375,117.67578125,333.984375,-28.80859375,1758405222.3190706,1758405222.3394384
-31.73828125,366.69921875,505.37109375,-25.390625,1758405222.3228385,1758405222.3433447
-32.71484375,572.265625,567.87109375,-21.97265625,1758405222.3266068,1758405222.347251
-34.66796875,307.12890625,312.5,-31.73828125,1758405222.3303747,1758405222.3511572
-18.5546875,-175.78125,18.06640625,-21.97265625,1758405222.3341427,1758405222.3550634
-7.32421875,42.48046875,246.58203125,-11.71875,1758405222.337911,1758405222.3589697
-6.8359375,287.59765625,384.27734375,-25.87890625,1758405222.3416789,1758405222.362876
-6.8359375,-188.4765625,31.25,-26.3671875,1758405222.345447,1758405222.3667822
-10.25390625,-838.37890625,-417.48046875,-15.625,1758405222.349215,1758405222.3706884
-17.578125,-130.859375,237.79296875,-26.85546875,1758405222.3529832,1758405222.3745947
-25.87890625,549.8046875,744.140625,-34.66796875,1758405222.3567512,1758405222.378501
-28.80859375,160.64453125,329.1015625,-27.34375,1758405222.3605218,1758405222.3824072
-24.4140625,215.33203125,354.98046875,-21.484375,1758405222.3642924,1758405222.3863134
-19.04296875,521.97265625,569.82421875,-17.08984375,1758405222.368063,1758405222.3902197
-23.92578125,495.60546875,490.72265625,-13.671875,1758405222.3718333,1758405222.394126
-18.5546875,13.671875,111.81640625,-13.18359375,1758405222.375604,1758405222.3980322
-10.7421875,-272.94921875,-58.59375,-12.6953125,1758405222.3793745,1758405222.4019384
-11.23046875,-12.6953125,185.05859375,-16.6015625,1758405222.383145,1758405222.4058447
-20.99609375,285.15625,406.73828125,-24.4140625,1758405222.3869157,1758405222.409751
-21.97265625,-384.765625,-140.625,-23.4375,1758405222.390686,1758405222.4136572
-18.06640625,-504.39453125,-180.6640625,-19.04296875,1758405222.3944566,1758405222.4175634
-22.4609375,201.171875,410.64453125,-18.06640625,1758405222.3982272,1758405222.4214697
-20.5078125,131.34765625,325.1953125,-11.71875,1758405222.4019978,1758405222.425376
-17.08984375,-84.9609375,136.71875,-13.18359375,1758405222.4058535,1758405222.4292822
-19.53125,173.33984375,333.0078125,-24.90234375,1758405222.4097092,1758405222.4331884
-23.4375,530.2734375,501.953125,-37.59765625,1758405222.4135652,1758405222.4370947
-21.97265625,187.5,156.73828125,-32.71484375,1758405222.4174209,1758405222.441001
-12.6953125,-292.48046875,-149.90234375,-25.390625,1758405222.4212766,1758405222.4449072
-23.92578125,-188.96484375,-37.59765625,-30.76171875,1758405222.4251323,1758405222.4488134
-30.76171875,-113.76953125,50.29296875,-39.55078125,1758405222.428988,1758405222.4527197
-21.484375,-366.69921875,-126.46484375,-36.1328125,1758405222.4328437,1758405222.456626
-26.85546875,-624.0234375,-296.38671875,-26.85546875,1758405222.4366994,1758405222.4605322
-30.2734375,81.54296875,272.94921875,-29.78515625,1758405222.4405553,1758405222.4644384
-27.83203125,501.953125,463.37890625,-35.64453125,1758405222.444411,1758405222.4683447
-31.25,235.3515625,177.24609375,-38.57421875,1758405222.4482667,1758405222.472251
-32.71484375,13.671875,-17.08984375,-32.71484375,1758405222.453095,1758405222.4761572
-28.80859375,137.20703125,25.87890625,-38.0859375,1758405222.457923,1758405222.4800634
-27.83203125,353.02734375,158.203125,-39.55078125,1758405222.462751,1758405222.4839697
-16.6015625,-77.1484375,-150.390625,-36.62109375,1758405222.4675791,1758405222.487876
-22.4609375,-122.55859375,-192.87109375,-41.015625,1758405222.4724073,1758405222.4917822
-28.3203125,-0.48828125,-160.15625,-34.66796875,1758405222.4772353,1758405222.4956884
-19.53125,-18.06640625,-145.99609375,-24.4140625,1758405222.4820633,1758405222.4995947
-6.8359375,-489.74609375,-535.64453125,-4.8828125,1758405222.4868915,1758405222.503501
-8.30078125,-704.1015625,-720.703125,-2.44140625,1758405222.4917197,1758405222.5074072
-21.484375,247.55859375,32.71484375,-16.6015625,1758405222.4965477,1758405222.5113134
-10.25390625,303.22265625,-25.390625,-11.23046875,1758405222.5013757,1758405222.5152197
-9.27734375,41.015625,-287.109375,-10.25390625,1758405222.506204,1758405222.519126
-8.30078125,266.11328125,-168.9453125,-11.23046875,1758405222.5087357,1758405222.5230322
0.9765625,424.8046875,-165.0390625,-16.11328125,1758405222.5112674,1758405222.5269384
