,TP9,AF7,AF8,TP10
0,-2.9296875,337.890625,-337.890625,-3.41796875
1,-8.7890625,377.9296875,-256.34765625,-4.39453125
2,-12.6953125,350.5859375,-278.3203125,-5.859375
3,-8.30078125,318.359375,-349.12109375,-9.765625
4,-13.18359375,312.98828125,-376.46484375,-8.7890625
5,-17.578125,335.9375,-325.1953125,-12.20703125
6,-8.7890625,392.578125,-239.74609375,-17.08984375
7,-10.7421875,310.546875,-318.84765625,-18.06640625
8,-12.20703125,255.37109375,-476.07421875,-15.13671875
9,-14.16015625,452.1484375,-193.359375,-14.16015625
10,-23.92578125,403.80859375,-141.11328125,-24.90234375
11,-29.78515625,312.5,-341.30859375,-33.203125
12,-27.34375,362.79296875,-308.10546875,-36.1328125
13,-38.0859375,383.30078125,-227.5390625,-23.92578125
14,-41.015625,342.28515625,-283.69140625,-16.6015625
15,-37.59765625,346.19140625,-326.66015625,-18.06640625
16,-39.0625,368.1640625,-290.52734375,-12.6953125
17,-39.0625,322.265625,-328.125,-16.11328125
18,-48.828125,343.75,-292.96875,-28.3203125
19,-43.9453125,276.3671875,-412.109375,-31.25
20,-31.73828125,349.12109375,-322.265625,-19.53125
21,-29.78515625,389.6484375,-167.96875,-13.671875
22,-28.3203125,282.71484375,-337.40234375,-13.18359375
23,-23.4375,367.1875,-278.3203125,-6.8359375
24,-24.4140625,403.80859375,-197.75390625,-13.18359375
25,-25.390625,328.61328125,-268.06640625,-19.53125
26,-15.625,258.7890625,-379.39453125,-21.97265625
27,-11.23046875,284.66796875,-344.23828125,-25.390625
28,-22.4609375,296.875,-292.96875,-16.6015625
29,-15.625,266.11328125,-344.23828125,-18.06640625
30,7.8125,250.9765625,-351.07421875,3.41796875
31,0.48828125,287.59765625,-304.6875,11.23046875
32,-29.296875,395.01953125,-124.51171875,-11.23046875
33,-8.7890625,327.1484375,-169.43359375,-0.9765625
34,16.6015625,272.94921875,-317.3828125,15.13671875
35,19.53125,305.17578125,-273.4375,20.99609375
36,33.203125,329.1015625,-214.35546875,24.90234375
37,39.0625,330.078125,-193.359375,25.87890625
38,30.2734375,229.4921875,-322.75390625,29.296875
39,39.0625,295.8984375,-250.48828125,41.015625
40,54.6875,336.42578125,-99.609375,46.875
41,45.41015625,244.62890625,-228.02734375,40.0390625
42,24.90234375,191.89453125,-356.93359375,35.15625
43,21.97265625,267.08984375,-229.98046875,37.59765625
44,20.5078125,333.49609375,-35.64453125,22.4609375
45,16.11328125,223.14453125,-222.16796875,8.7890625
46,13.18359375,248.53515625,-249.0234375,5.37109375
47,12.20703125,290.52734375,-176.26953125,7.32421875
48,23.92578125,274.90234375,-182.6171875,15.625
49,22.94921875,237.3046875,-235.3515625,5.859375
50,11.23046875,204.1015625,-293.45703125,-6.8359375
51,4.39453125,282.2265625,-179.19921875,-1.46484375
52,-1.953125,279.296875,-146.484375,-1.46484375
53,2.44140625,181.15234375,-291.015625,-9.765625
54,-0.48828125,221.19140625,-245.60546875,-12.20703125
55,-2.9296875,279.296875,-121.09375,-23.4375
56,-4.8828125,261.71875,-134.765625,-31.73828125
57,7.8125,158.203125,-301.26953125,-10.7421875
58,15.13671875,162.109375,-390.13671875,11.23046875
59,10.7421875,364.74609375,-63.4765625,12.20703125
60,18.06640625,274.90234375,-64.453125,14.16015625
61,24.4140625,209.9609375,-253.41796875,20.01953125
62,20.5078125,264.6484375,-209.9609375,14.16015625
63,6.8359375,266.11328125,-141.11328125,11.23046875
64,-0.9765625,200.1953125,-219.7265625,0.9765625
65,-3.41796875,172.36328125,-312.98828125,-4.8828125
66,-12.20703125,233.88671875,-231.4453125,4.39453125
67,-2.9296875,268.06640625,-127.44140625,7.8125
68,10.7421875,249.51171875,-134.765625,13.671875
69,7.32421875,143.06640625,-374.0234375,23.4375
70,0.48828125,246.58203125,-238.76953125,21.97265625
71,4.8828125,339.84375,40.52734375,13.18359375
72,14.6484375,217.28515625,-169.921875,20.99609375
73,27.83203125,250.48828125,-203.61328125,28.3203125
74,39.0625,330.078125,-49.31640625,38.0859375
75,37.59765625,292.96875,-82.51953125,39.55078125
76,29.78515625,238.28125,-191.89453125,19.04296875
77,12.6953125,227.5390625,-230.46875,11.23046875
78,5.37109375,303.22265625,-92.28515625,2.9296875
79,26.3671875,304.19921875,-87.890625,13.18359375
80,47.36328125,204.58984375,-223.6328125,39.55078125
81,8.7890625,208.984375,-287.59765625,16.11328125
82,-38.57421875,395.5078125,-21.97265625,-27.83203125
83,-32.71484375,335.44921875,0.48828125,-36.1328125
84,-29.296875,255.859375,-219.23828125,-34.1796875
85,-39.55078125,320.3125,-129.8828125,-45.41015625
86,-69.82421875,320.3125,-69.82421875,-62.01171875
87,-80.078125,278.3203125,-157.71484375,-66.89453125
88,-83.49609375,251.46484375,-221.6796875,-69.82421875
96,-91.30859375,263.18359375,-86.9140625,-77.63671875
97,-90.33203125,320.3125,43.45703125,-74.21875
98,-83.0078125,260.25390625,15.625,-60.05859375
99,-73.2421875,223.14453125,-49.31640625,-41.50390625
100,-51.7578125,212.890625,-33.69140625,-39.55078125
101,-43.9453125,218.75,-15.625,-35.15625
102,-47.36328125,280.2734375,99.609375,-31.25
103,-36.62109375,199.21875,32.2265625,-26.85546875
104,-30.76171875,197.265625,-41.015625,-17.578125
105,-23.92578125,345.703125,236.328125,-14.6484375
106,-18.06640625,253.41796875,178.7109375,-8.7890625
107,-16.6015625,189.94140625,14.6484375,-10.25390625
108,-18.06640625,229.4921875,21.484375,-19.04296875
109,-24.90234375,277.34375,117.1875,-14.16015625
110,-18.06640625,228.515625,94.23828125,-5.37109375
111,-15.13671875,187.98828125,-69.82421875,1.953125
112,-19.53125,248.53515625,-26.3671875,-3.90625
113,-26.3671875,227.5390625,10.25390625,-10.7421875
114,-20.5078125,229.98046875,-0.9765625,-10.7421875
115,-17.08984375,162.59765625,-169.43359375,-6.8359375
116,-22.94921875,238.28125,-125.0,-0.9765625
117,-24.90234375,354.4921875,146.97265625,-8.7890625
118,-18.5546875,214.35546875,-84.9609375,-8.30078125
119,-19.04296875,222.16796875,-173.33984375,-8.30078125
120,-21.97265625,278.3203125,-83.49609375,-8.7890625
121,-19.53125,256.34765625,-141.6015625,-4.8828125
122,-16.11328125,211.42578125,-240.234375,-10.25390625
123,-12.6953125,227.05078125,-207.51953125,-9.765625
124,-23.4375,265.13671875,-106.4453125,-6.34765625
125,-21.484375,225.5859375,-167.48046875,-16.6015625
126,-10.25390625,182.12890625,-195.80078125,-17.08984375
127,-8.7890625,189.453125,-207.51953125,-5.37109375
128,-4.8828125,332.03125,45.41015625,-5.859375
129,-2.44140625,256.34765625,107.421875,-4.8828125
