,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,17.963507961815665,17.516262492698736,17.989725426838802,15.40732404015785,12.790939743531336
,Delta,Theta,Alpha,Beta,Gamma
0,16.923426277324566,17.349277025827327,18.382928422838752,15.675714923441264,12.924312977785288
,Delta,Theta,Alpha,Beta,Gamma
0,17.280435894010353,16.619200895148545,17.91579361354649,15.829108655313375,12.89791603525811
,Delta,Theta,Alpha,Beta,Gamma
0,18.012849217799555,16.76067044957602,17.825582680067033,15.69119170490119,12.847915341576257
,Delta,Theta,Alpha,Beta,Gamma
0,18.966790818338147,17.87095579627931,18.307399290467416,15.723332277472185,13.539993503119394
,Delta,Theta,Alpha,Beta,Gamma
0,19.22381125153347,17.627438003492617,18.231967917942377,15.633124689895844,13.198494224549506
,Delta,Theta,Alpha,Beta,Gamma
0,19.398446721892395,17.716159776639508,18.642160988976308,15.673158106095807,12.762349539506765
,Delta,Theta,Alpha,Beta,Gamma
0,19.19138820814789,17.864989801975852,18.565486552840767,16.001564673130204,13.102562150301587
,Delta,Theta,Alpha,Beta,Gamma
0,20.470103285106838,18.279091910039206,18.975067082944946,16.670025471777926,14.820375044304726
,Delta,Theta,Alpha,Beta,Gamma
0,20.580626225164025,18.49733772849934,18.875943540831813,16.675624590620217,14.842616526694917
,Delta,Theta,Alpha,Beta,Gamma
0,17.849943596227348,17.0919425027717,18.27817777290708,16.104208565065314,13.897491671448993
,Delta,Theta,Alpha,Beta,Gamma
0,17.48557541633916,17.13200148886898,18.148199136904957,15.915165216737437,13.94741690210392
