,COMB0_Delta,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB5_Delta,COMB6_Delta,COMB7_Delta,COMB8_Delta,COMB9_Delta,COMB10_Delta,COMB11_Delta,COMB12_Delta,COMB13_Delta,COMB14_Delta,COMB15_Delta,COMB0_Theta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB5_Theta,COMB6_Theta,COMB7_Theta,COMB8_Theta,COMB9_Theta,COMB10_Theta,COMB11_Theta,COMB12_Theta,COMB13_Theta,COMB14_Theta,COMB15_Theta,COMB0_Alpha,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB5_Alpha,COMB6_Alpha,COMB7_Alpha,COMB8_Alpha,COMB9_Alpha,COMB10_Alpha,COMB11_Alpha,COMB12_Alpha,COMB13_Alpha,COMB14_Alpha,COMB15_Alpha,COMB0_Beta,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB5_Beta,COMB6_Beta,COMB7_Beta,COMB8_Beta,COMB9_Beta,COMB10_Beta,COMB11_Beta,COMB12_Beta,COMB13_Beta,COMB14_Beta,COMB15_Beta,COMB0_Gamma,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma,COMB5_Gamma,COMB6_Gamma,COMB7_Gamma,COMB8_Gamma,COMB9_Gamma,COMB10_Gamma,COMB11_Gamma,COMB12_Gamma,COMB13_Gamma,COMB14_Gamma,COMB15_Gamma
0,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
,COMB0_Delta,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB5_Delta,COMB6_Delta,COMB7_Delta,COMB8_Delta,COMB9_Delta,COMB10_Delta,COMB11_Delta,COMB12_Delta,COMB13_Delta,COMB14_Delta,COMB15_Delta,COMB0_Theta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB5_Theta,COMB6_Theta,COMB7_Theta,COMB8_Theta,COMB9_Theta,COMB10_Theta,COMB11_Theta,COMB12_Theta,COMB13_Theta,COMB14_Theta,COMB15_Theta,COMB0_Alpha,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB5_Alpha,COMB6_Alpha,COMB7_Alpha,COMB8_Alpha,COMB9_Alpha,COMB10_Alpha,COMB11_Alpha,COMB12_Alpha,COMB13_Alpha,COMB14_Alpha,COMB15_Alpha,COMB0_Beta,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB5_Beta,COMB6_Beta,COMB7_Beta,COMB8_Beta,COMB9_Beta,COMB10_Beta,COMB11_Beta,COMB12_Beta,COMB13_Beta,COMB14_Beta,COMB15_Beta,COMB0_Gamma,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma,COMB5_Gamma,COMB6_Gamma,COMB7_Gamma,COMB8_Gamma,COMB9_Gamma,COMB10_Gamma,COMB11_Gamma,COMB12_Gamma,COMB13_Gamma,COMB14_Gamma,COMB15_Gamma
0,,,,,-inf,-inf,-inf,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,,,,,-inf,-inf,-inf,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,,,,,-inf,-inf,-inf,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,,,,,-inf,-inf,-inf,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,,,,,-inf,-inf,-inf,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf
,COMB0_Delta,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB5_Delta,COMB6_Delta,COMB7_Delta,COMB8_Delta,COMB9_Delta,COMB10_Delta,COMB11_Delta,COMB12_Delta,COMB13_Delta,COMB14_Delta,COMB15_Delta,COMB0_Theta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB5_Theta,COMB6_Theta,COMB7_Theta,COMB8_Theta,COMB9_Theta,COMB10_Theta,COMB11_Theta,COMB12_Theta,COMB13_Theta,COMB14_Theta,COMB15_Theta,COMB0_Alpha,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB5_Alpha,COMB6_Alpha,COMB7_Alpha,COMB8_Alpha,COMB9_Alpha,COMB10_Alpha,COMB11_Alpha,COMB12_Alpha,COMB13_Alpha,COMB14_Alpha,COMB15_Alpha,COMB0_Beta,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB5_Beta,COMB6_Beta,COMB7_Beta,COMB8_Beta,COMB9_Beta,COMB10_Beta,COMB11_Beta,COMB12_Beta,COMB13_Beta,COMB14_Beta,COMB15_Beta,COMB0_Gamma,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma,COMB5_Gamma,COMB6_Gamma,COMB7_Gamma,COMB8_Gamma,COMB9_Gamma,COMB10_Gamma,COMB11_Gamma,COMB12_Gamma,COMB13_Gamma,COMB14_Gamma,COMB15_Gamma
0,,,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,,,,-inf,-inf,-inf,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
,COMB0_Delta,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB5_Delta,COMB6_Delta,COMB7_Delta,COMB8_Delta,COMB9_Delta,COMB10_Delta,COMB11_Delta,COMB12_Delta,COMB13_Delta,COMB14_Delta,COMB15_Delta,COMB0_Theta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB5_Theta,COMB6_Theta,COMB7_Theta,COMB8_Theta,COMB9_Theta,COMB10_Theta,COMB11_Theta,COMB12_Theta,COMB13_Theta,COMB14_Theta,COMB15_Theta,COMB0_Alpha,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB5_Alpha,COMB6_Alpha,COMB7_Alpha,COMB8_Alpha,COMB9_Alpha,COMB10_Alpha,COMB11_Alpha,COMB12_Alpha,COMB13_Alpha,COMB14_Alpha,COMB15_Alpha,COMB0_Beta,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB5_Beta,COMB6_Beta,COMB7_Beta,COMB8_Beta,COMB9_Beta,COMB10_Beta,COMB11_Beta,COMB12_Beta,COMB13_Beta,COMB14_Beta,COMB15_Beta,COMB0_Gamma,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma,COMB5_Gamma,COMB6_Gamma,COMB7_Gamma,COMB8_Gamma,COMB9_Gamma,COMB10_Gamma,COMB11_Gamma,COMB12_Gamma,COMB13_Gamma,COMB14_Gamma,COMB15_Gamma
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,COMB0_Delta,COMB1_Delta,COMB2_Delta,COMB3_Delta,COMB4_Delta,COMB5_Delta,COMB6_Delta,COMB7_Delta,COMB8_Delta,COMB9_Delta,COMB10_Delta,COMB11_Delta,COMB12_Delta,COMB13_Delta,COMB14_Delta,COMB15_Delta,COMB0_Theta,COMB1_Theta,COMB2_Theta,COMB3_Theta,COMB4_Theta,COMB5_Theta,COMB6_Theta,COMB7_Theta,COMB8_Theta,COMB9_Theta,COMB10_Theta,COMB11_Theta,COMB12_Theta,COMB13_Theta,COMB14_Theta,COMB15_Theta,COMB0_Alpha,COMB1_Alpha,COMB2_Alpha,COMB3_Alpha,COMB4_Alpha,COMB5_Alpha,COMB6_Alpha,COMB7_Alpha,COMB8_Alpha,COMB9_Alpha,COMB10_Alpha,COMB11_Alpha,COMB12_Alpha,COMB13_Alpha,COMB14_Alpha,COMB15_Alpha,COMB0_Beta,COMB1_Beta,COMB2_Beta,COMB3_Beta,COMB4_Beta,COMB5_Beta,COMB6_Beta,COMB7_Beta,COMB8_Beta,COMB9_Beta,COMB10_Beta,COMB11_Beta,COMB12_Beta,COMB13_Beta,COMB14_Beta,COMB15_Beta,COMB0_Gamma,COMB1_Gamma,COMB2_Gamma,COMB3_Gamma,COMB4_Gamma,COMB5_Gamma,COMB6_Gamma,COMB7_Gamma,COMB8_Gamma,COMB9_Gamma,COMB10_Gamma,COMB11_Gamma,COMB12_Gamma,COMB13_Gamma,COMB14_Gamma,COMB15_Gamma
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
