,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641,-20.72326583694641
,Delta,Theta,Alpha,Beta,Gamma
0,22.4389714147757,22.12503856330574,21.61523441207318,21.296391900672084,19.130502752849125
,Delta,Theta,Alpha,Beta,Gamma
0,22.4389714147757,22.12503856330574,21.61523441207318,21.296391900672084,19.130502752849125
,Delta,Theta,Alpha,Beta,Gamma
0,20.656915965836177,21.266532210408997,21.519126229061577,21.472349555721152,19.722641826687372
,Delta,Theta,Alpha,Beta,Gamma
0,20.656915965836177,21.266532210408997,21.519126229061577,21.472349555721152,19.722641826687372
,Delta,Theta,Alpha,Beta,Gamma
0,20.587375155671232,21.20242949185134,21.694354333339213,21.017790077887327,19.517307334237366
,Delta,Theta,Alpha,Beta,Gamma
0,20.66062311443453,21.158580977223167,21.704535069012366,21.16927580603265,19.769445363739614
,Delta,Theta,Alpha,Beta,Gamma
0,21.364084963301615,21.75259148915489,21.74522851913226,21.151467133865378,19.49585673841888
,Delta,Theta,Alpha,Beta,Gamma
0,20.72986093248998,21.515703056529894,21.645862344521003,21.348102961321587,19.652698864158676
,Delta,Theta,Alpha,Beta,Gamma
0,21.205843708764952,21.61683593186429,21.34133683741259,21.324119934178857,19.663142292301636
,Delta,Theta,Alpha,Beta,Gamma
